"","wgEncodeBroadHistoneNhaCtcfStdPk.broadPeak","wgEncodeBroadHistoneNhaEzh239875Pk.broadPeak","wgEncodeBroadHistoneNhaH2azPk.broadPeak","wgEncodeBroadHistoneNhaH3k04me2Pk.broadPeak","wgEncodeBroadHistoneNhaH3k09acPk.broadPeak","wgEncodeBroadHistoneNhaH3k09me3Pk.broadPeak","wgEncodeBroadHistoneNhaH3k27acStdPk.broadPeak","wgEncodeBroadHistoneNhaH3k27me3StdPk.broadPeak","wgEncodeBroadHistoneNhaH3k36me3StdPk.broadPeak","wgEncodeBroadHistoneNhaH3k4me1StdPk.broadPeak","wgEncodeBroadHistoneNhaH3k4me3StdPk.broadPeak","wgEncodeBroadHistoneNhaH3k79me2Pk.broadPeak","wgEncodeBroadHistoneNhaH4k20me1Pk.broadPeak"
"wgEncodeBroadHistoneNhaCtcfStdPk.broadPeak",1,0.133068432946727,0.136565421790756,0.127367972089197,0.145550193016895,0.0900806081842437,0.130471033415316,0.0746257052097631,0.125980754417989,0.14817863153258,0.126167285163308,0.126718739480681,0.122126033336353
"wgEncodeBroadHistoneNhaEzh239875Pk.broadPeak",0.133068432946727,1,0.223506686170082,0.151968654010848,0.140967472766407,0.241260716395387,0.111055399632961,0.292412584089539,0.191444203424468,0.195457585845043,0.0930980915121905,0.176740499086511,0.2478307690735
"wgEncodeBroadHistoneNhaH2azPk.broadPeak",0.136565421790756,0.223506686170082,1,0.225743143201858,0.202671258020751,0.147567558199044,0.171789819918269,0.138453144066878,0.08121193847066,0.224724933079464,0.169267502847506,0.0886015783328562,0.0915625753044858
"wgEncodeBroadHistoneNhaH3k04me2Pk.broadPeak",0.127367972089197,0.151968654010848,0.225743143201858,1,0.454738444414062,0.0762689398553383,0.406549117065463,0.0756529332646655,0.143886581525992,0.417236304627336,0.374060659176405,0.203182817584836,0.168711004878528
"wgEncodeBroadHistoneNhaH3k09acPk.broadPeak",0.145550193016895,0.140967472766407,0.202671258020751,0.454738444414062,1,0.0739965434481099,0.458048033932733,0.054038034439422,0.166566820732925,0.38298931661452,0.399180325638751,0.223400422549735,0.173966114219111
"wgEncodeBroadHistoneNhaH3k09me3Pk.broadPeak",0.0900806081842437,0.241260716395387,0.147567558199044,0.0762689398553383,0.0739965434481099,1,0.0621492145531659,0.207265084095033,0.104857905673362,0.1053285800585,0.051612007260606,0.0821078938503472,0.122793044199045
"wgEncodeBroadHistoneNhaH3k27acStdPk.broadPeak",0.130471033415316,0.111055399632961,0.171789819918269,0.406549117065463,0.458048033932733,0.0621492145531659,1,0.033086691879322,0.14245119060511,0.366182169315863,0.344097424675344,0.191589549860344,0.13414036443333
"wgEncodeBroadHistoneNhaH3k27me3StdPk.broadPeak",0.0746257052097631,0.292412584089539,0.138453144066878,0.0756529332646655,0.054038034439422,0.207265084095033,0.033086691879322,1,0.0387416480092377,0.0820286572263113,0.0448824619080549,0.0382568314639165,0.106259637583898
"wgEncodeBroadHistoneNhaH3k36me3StdPk.broadPeak",0.125980754417989,0.191444203424468,0.08121193847066,0.143886581525992,0.166566820732925,0.104857905673362,0.14245119060511,0.0387416480092377,1,0.193029606679256,0.104769231354807,0.444982966275963,0.477280061480122
"wgEncodeBroadHistoneNhaH3k4me1StdPk.broadPeak",0.14817863153258,0.195457585845043,0.224724933079464,0.417236304627336,0.38298931661452,0.1053285800585,0.366182169315863,0.0820286572263113,0.193029606679256,1,0.252586215978239,0.244543935942301,0.213212260208993
"wgEncodeBroadHistoneNhaH3k4me3StdPk.broadPeak",0.126167285163308,0.0930980915121905,0.169267502847506,0.374060659176405,0.399180325638751,0.051612007260606,0.344097424675344,0.0448824619080549,0.104769231354807,0.252586215978239,1,0.151562824290786,0.110735491485441
"wgEncodeBroadHistoneNhaH3k79me2Pk.broadPeak",0.126718739480681,0.176740499086511,0.0886015783328562,0.203182817584836,0.223400422549735,0.0821078938503472,0.191589549860344,0.0382568314639165,0.444982966275963,0.244543935942301,0.151562824290786,1,0.521378671341138
"wgEncodeBroadHistoneNhaH4k20me1Pk.broadPeak",0.122126033336353,0.2478307690735,0.0915625753044858,0.168711004878528,0.173966114219111,0.122793044199045,0.13414036443333,0.106259637583898,0.477280061480122,0.213212260208993,0.110735491485441,0.521378671341138,1
