"","wgEncodeBroadHistoneOsteoblCtcfStdPk.broadPeak","wgEncodeBroadHistoneOsteoblH2azStdPk.broadPeak","wgEncodeBroadHistoneOsteoblH3k27acStdPk.broadPeak","wgEncodeBroadHistoneOsteoblH3k36me3StdPk.broadPeak","wgEncodeBroadHistoneOsteoblH3k4me1StdPk.broadPeak","wgEncodeBroadHistoneOsteoblH3k4me2StdPk.broadPeak","wgEncodeBroadHistoneOsteoblH3k9me3StdPk.broadPeak","wgEncodeBroadHistoneOsteoH3k04me3Pk.broadPeak","wgEncodeBroadHistoneOsteoH3k27me3Pk.broadPeak","wgEncodeBroadHistoneOsteoH3k79me2Pk.broadPeak","wgEncodeBroadHistoneOsteoH4k20me1Pk.broadPeak","wgEncodeBroadHistoneOsteoP300kat3bPk.broadPeak"
"wgEncodeBroadHistoneOsteoblCtcfStdPk.broadPeak",1,0.0617595238066724,0.0788302897078293,0.0464891446890934,0.0828054357155737,0.110983922320133,0.0106893206315627,0.119129385132615,0.0363180817459357,0.0518958060095221,0.050925661693103,0.0535166158060385
"wgEncodeBroadHistoneOsteoblH2azStdPk.broadPeak",0.0617595238066724,1,0.208739350572967,0.0976203279550563,0.241471482771407,0.21567252617874,0.0523612219066438,0.16749049892472,0.13845711087079,0.111764463371263,0.0989889990370567,0.223765390821347
"wgEncodeBroadHistoneOsteoblH3k27acStdPk.broadPeak",0.0788302897078293,0.208739350572967,1,0.293810548513629,0.438305961499967,0.357389896289729,0.0208509250067188,0.269829171431282,0.0442915307199604,0.332546896131997,0.254705857063991,0.171731295250655
"wgEncodeBroadHistoneOsteoblH3k36me3StdPk.broadPeak",0.0464891446890934,0.0976203279550563,0.293810548513629,1,0.21186615737875,0.143723598560817,0.0261566492896644,0.108361024399498,0.040002993304145,0.49094549352069,0.469709572279004,0.149348097466824
"wgEncodeBroadHistoneOsteoblH3k4me1StdPk.broadPeak",0.0828054357155737,0.241471482771407,0.438305961499967,0.21186615737875,1,0.39135266517493,0.0239475769707942,0.269838082509708,0.0706208703830196,0.252914254665327,0.212231969325466,0.189954953522532
"wgEncodeBroadHistoneOsteoblH3k4me2StdPk.broadPeak",0.110983922320133,0.21567252617874,0.357389896289729,0.143723598560817,0.39135266517493,1,0.0161064950545425,0.480626354364396,0.058002547989806,0.194223431942629,0.152734434246754,0.148299141776993
"wgEncodeBroadHistoneOsteoblH3k9me3StdPk.broadPeak",0.0106893206315627,0.0523612219066438,0.0208509250067188,0.0261566492896644,0.0239475769707942,0.0161064950545425,1,0.0125804830191863,0.0596954238411407,0.0200024632818021,0.0318471830849364,0.051875114885712
"wgEncodeBroadHistoneOsteoH3k04me3Pk.broadPeak",0.119129385132615,0.16749049892472,0.269829171431282,0.108361024399498,0.269838082509708,0.480626354364396,0.0125804830191863,1,0.0401470483445946,0.151816079290188,0.113014547309919,0.113928681287671
"wgEncodeBroadHistoneOsteoH3k27me3Pk.broadPeak",0.0363180817459357,0.13845711087079,0.0442915307199604,0.040002993304145,0.0706208703830196,0.058002547989806,0.0596954238411407,0.0401470483445946,1,0.0406385334495749,0.116447907879677,0.290424508291307
"wgEncodeBroadHistoneOsteoH3k79me2Pk.broadPeak",0.0518958060095221,0.111764463371263,0.332546896131997,0.49094549352069,0.252914254665327,0.194223431942629,0.0200024632818021,0.151816079290188,0.0406385334495749,1,0.530736504423881,0.157457706276579
"wgEncodeBroadHistoneOsteoH4k20me1Pk.broadPeak",0.050925661693103,0.0989889990370567,0.254705857063991,0.469709572279004,0.212231969325466,0.152734434246754,0.0318471830849364,0.113014547309919,0.116447907879677,0.530736504423881,1,0.200023736775372
"wgEncodeBroadHistoneOsteoP300kat3bPk.broadPeak",0.0535166158060385,0.223765390821347,0.171731295250655,0.149348097466824,0.189954953522532,0.148299141776993,0.051875114885712,0.113928681287671,0.290424508291307,0.157457706276579,0.200023736775372,1
